Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Spain,36.8,37.0,-0.2,0.2,23.0,23.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.5pts); Ransomware attacks 30 day average (15.4pts)
Finland,39.7,39.9,-0.2,0.2,15.0,16.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.7pts); Ransomware attacks 30 day average (15.4pts)
Greece,32.3,32.49,-0.19,0.19,34.0,35.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (11.0pts)
Germany,41.2,41.38,-0.18,0.18,11.0,12.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average (8.8pts)
Algeria,21.44,21.61,-0.17,0.17,66.0,68.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (12.1pts)
Serbia,30.9,31.04,-0.14,0.14,41.0,43.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.2pts); Ransomware attacks 30 day average (12.1pts)
Sri Lanka,21.8,21.94,-0.14,0.14,65.0,67.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.2pts); Ransomware attacks 30 day average (7.7pts)
Austria,38.7,38.84,-0.14,0.14,19.0,19.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (9.9pts)
Singapore,51.1,51.23,-0.13,0.13,2.0,2.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (8.8pts)
Portugal,35.0,35.13,-0.13,0.13,27.0,28.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (8.8pts)
Peru,30.7,30.83,-0.13,0.13,43.0,45.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average (8.8pts)
Türkiye,29.5,29.62,-0.12,0.12,50.0,52.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.1pts); Ransomware attacks 30 day average (9.9pts)
Malaysia,33.9,34.02,-0.12,0.12,30.0,32.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.9pts); Ransomware attacks 30 day average (5.5pts)
Colombia,28.9,29.01,-0.11,0.11,51.0,53.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (9.9pts)
Mexico,29.7,29.81,-0.11,0.11,49.0,51.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.8pts); Ransomware attacks 30 day average (4.4pts)
Japan,39.7,39.8,-0.1,0.1,16.0,17.0,ROUNDING-ONLY,CHIPS diff < 0.1
Morocco,25.9,25.99,-0.09,0.09,52.0,54.0,ROUNDING-ONLY,CHIPS diff < 0.1
Viet Nam,30.8,30.89,-0.09,0.09,42.0,44.0,ROUNDING-ONLY,CHIPS diff < 0.1
Czechia,32.0,32.09,-0.09,0.09,36.0,38.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ireland,43.0,43.08,-0.08,0.08,7.0,8.0,ROUNDING-ONLY,CHIPS diff < 0.1
New Zealand,37.1,37.18,-0.08,0.08,21.0,22.0,ROUNDING-ONLY,CHIPS diff < 0.1
Costa Rica,31.3,31.38,-0.08,0.08,39.0,42.0,ROUNDING-ONLY,CHIPS diff < 0.1
Slovakia,30.3,30.38,-0.08,0.08,46.0,49.0,ROUNDING-ONLY,CHIPS diff < 0.1
Australia,38.9,38.98,-0.08,0.08,18.0,18.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ecuador,24.0,24.08,-0.08,0.08,60.0,62.0,ROUNDING-ONLY,CHIPS diff < 0.1
Philippines,25.1,25.17,-0.07,0.07,56.0,59.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ukraine,25.3,25.36,-0.06,0.06,53.0,55.0,ROUNDING-ONLY,CHIPS diff < 0.1
Indonesia,29.9,29.96,-0.06,0.06,48.0,50.0,ROUNDING-ONLY,CHIPS diff < 0.1
Rwanda,19.3,19.36,-0.06,0.06,69.0,71.0,ROUNDING-ONLY,CHIPS diff < 0.1
Netherlands,40.2,40.25,-0.05,0.05,13.0,14.0,ROUNDING-ONLY,CHIPS diff < 0.1
Iraq,22.2,22.25,-0.05,0.05,64.0,66.0,ROUNDING-ONLY,CHIPS diff < 0.1
Hungary,31.5,31.55,-0.05,0.05,38.0,40.0,ROUNDING-ONLY,CHIPS diff < 0.1
Belgium,36.0,36.05,-0.05,0.05,26.0,26.0,ROUNDING-ONLY,CHIPS diff < 0.1
Chile,36.4,36.45,-0.05,0.05,24.0,25.0,ROUNDING-ONLY,CHIPS diff < 0.1
Guatemala,25.3,25.35,-0.05,0.05,54.0,56.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ethiopia,21.3,21.34,-0.04,0.04,67.0,69.0,ROUNDING-ONLY,CHIPS diff < 0.1
Bangladesh,21.0,21.04,-0.04,0.04,68.0,70.0,ROUNDING-ONLY,CHIPS diff < 0.1
Denmark,42.0,42.04,-0.04,0.04,10.0,11.0,ROUNDING-ONLY,CHIPS diff < 0.1
India,33.4,33.44,-0.04,0.04,31.0,33.0,ROUNDING-ONLY,CHIPS diff < 0.1
Croatia,33.1,33.14,-0.04,0.04,32.0,34.0,ROUNDING-ONLY,CHIPS diff < 0.1
United Kingdom,44.7,44.74,-0.04,0.04,4.0,5.0,ROUNDING-ONLY,CHIPS diff < 0.1
Poland,34.6,34.63,-0.03,0.03,29.0,30.0,ROUNDING-ONLY,CHIPS diff < 0.1
Qatar,36.9,36.93,-0.03,0.03,22.0,24.0,ROUNDING-ONLY,CHIPS diff < 0.1
Canada,39.9,39.93,-0.03,0.03,14.0,15.0,ROUNDING-ONLY,CHIPS diff < 0.1
France,41.2,41.23,-0.03,0.03,12.0,13.0,ROUNDING-ONLY,CHIPS diff < 0.1
Norway,42.3,42.27,0.03,0.03,9.0,10.0,ROUNDING-ONLY,CHIPS diff < 0.1
China,44.4,44.43,-0.03,0.03,5.0,6.0,ROUNDING-ONLY,CHIPS diff < 0.1
United States of America,61.5,61.48,0.02,0.02,1.0,1.0,ROUNDING-ONLY,CHIPS diff < 0.1
Kenya,24.8,24.82,-0.02,0.02,57.0,60.0,ROUNDING-ONLY,CHIPS diff < 0.1
Egypt,25.2,25.22,-0.02,0.02,55.0,58.0,ROUNDING-ONLY,CHIPS diff < 0.1
Nigeria,24.4,24.42,-0.02,0.02,59.0,61.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ghana,24.0,24.02,-0.02,0.02,61.0,63.0,ROUNDING-ONLY,CHIPS diff < 0.1
Argentina,30.6,30.62,-0.02,0.02,44.0,47.0,ROUNDING-ONLY,CHIPS diff < 0.1
Sweden,43.3,43.29,0.01,0.01,6.0,7.0,ROUNDING-ONLY,CHIPS diff < 0.1
Israel,38.7,38.69,0.01,0.01,20.0,20.0,ROUNDING-ONLY,CHIPS diff < 0.1
Thailand,31.7,31.7,0.0,0.0,37.0,39.0,ROUNDING-ONLY,CHIPS diff < 0.1
Pakistan,22.3,22.3,0.0,0.0,63.0,65.0,ROUNDING-ONLY,CHIPS diff < 0.1
Romania,32.2,32.2,0.0,0.0,35.0,37.0,ROUNDING-ONLY,CHIPS diff < 0.1
Dominican Republic,,32.44,,,,36.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.9pts); Ransomware attacks 30 day average (1.1pts)
Kuwait,,47.43,,,,3.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (3.3pts)
