Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Brazil,25.46,25.474,-0.014,0.014,7.0,8.0,ROUNDING-ONLY,CHIPS diff < 0.1
Finland,18.75,18.7632,-0.0132,0.0132,45.0,44.0,ROUNDING-ONLY,CHIPS diff < 0.1
Kazakhstan,15.35,15.3629,-0.0129,0.0129,71.0,71.0,ROUNDING-ONLY,CHIPS diff < 0.1
India,40.41,40.4222,-0.0122,0.0122,3.0,3.0,ROUNDING-ONLY,CHIPS diff < 0.1
Australia,20.83,20.8224,0.0076,0.0076,23.0,23.0,ROUNDING-ONLY,CHIPS diff < 0.1
United Kingdom,31.58,31.5728,0.0072,0.0072,4.0,4.0,ROUNDING-ONLY,CHIPS diff < 0.1
Germany,25.85,25.8566,-0.0066,0.0066,6.0,7.0,ROUNDING-ONLY,CHIPS diff < 0.1
Romania,21.37,21.364,0.006,0.006,19.0,19.0,ROUNDING-ONLY,CHIPS diff < 0.1
Spain,22.51,22.5159,-0.0059,0.0059,15.0,15.0,ROUNDING-ONLY,CHIPS diff < 0.1
Türkiye,19.68,19.6857,-0.0057,0.0057,37.0,36.0,ROUNDING-ONLY,CHIPS diff < 0.1
Costa Rica,18.91,18.9142,-0.0042,0.0042,42.0,43.0,ROUNDING-ONLY,CHIPS diff < 0.1
Guatemala,16.18,16.1839,-0.0039,0.0039,67.0,67.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ecuador,15.73,15.7264,0.0036,0.0036,69.0,69.0,ROUNDING-ONLY,CHIPS diff < 0.1
Canada,23.43,23.4335,-0.0035,0.0035,11.0,12.0,ROUNDING-ONLY,CHIPS diff < 0.1
Dominican Republic,15.71,15.7125,-0.0025,0.0025,70.0,70.0,ROUNDING-ONLY,CHIPS diff < 0.1
Japan,23.56,23.5596,0.0004,0.0004,10.0,11.0,ROUNDING-ONLY,CHIPS diff < 0.1
United Arab Emirates,24.07,24.0696,0.0004,0.0004,9.0,9.0,ROUNDING-ONLY,CHIPS diff < 0.1
Malaysia,19.8,19.7996,0.0004,0.0004,32.0,35.0,ROUNDING-ONLY,CHIPS diff < 0.1
Uzbekistan,17.67,17.6704,-0.0004,0.0004,59.0,57.0,ROUNDING-ONLY,CHIPS diff < 0.1
