Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Guatemala,25.3,25.33,-0.03,0.03,54.0,55.0,ROUNDING-ONLY,CHIPS diff < 0.1
Spain,36.8,36.77,0.03,0.03,23.0,24.0,ROUNDING-ONLY,CHIPS diff < 0.1
Czechia,32.0,32.03,-0.03,0.03,36.0,38.0,ROUNDING-ONLY,CHIPS diff < 0.1
Greece,32.3,32.33,-0.03,0.03,34.0,36.0,ROUNDING-ONLY,CHIPS diff < 0.1
Germany,41.2,41.23,-0.03,0.03,11.0,12.0,ROUNDING-ONLY,CHIPS diff < 0.1
Egypt,25.2,25.23,-0.03,0.03,55.0,57.0,ROUNDING-ONLY,CHIPS diff < 0.1
Slovakia,30.3,30.28,0.02,0.02,46.0,48.0,ROUNDING-ONLY,CHIPS diff < 0.1
Philippines,25.1,25.12,-0.02,0.02,56.0,58.0,ROUNDING-ONLY,CHIPS diff < 0.1
Nigeria,24.4,24.42,-0.02,0.02,59.0,61.0,ROUNDING-ONLY,CHIPS diff < 0.1
Netherlands,40.2,40.18,0.02,0.02,13.0,14.0,ROUNDING-ONLY,CHIPS diff < 0.1
India,33.4,33.42,-0.02,0.02,31.0,33.0,ROUNDING-ONLY,CHIPS diff < 0.1
Bangladesh,21.0,21.02,-0.02,0.02,68.0,70.0,ROUNDING-ONLY,CHIPS diff < 0.1
Finland,39.7,39.68,0.02,0.02,15.0,17.0,ROUNDING-ONLY,CHIPS diff < 0.1
France,41.2,41.18,0.02,0.02,12.0,13.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ireland,43.0,43.02,-0.02,0.02,7.0,8.0,ROUNDING-ONLY,CHIPS diff < 0.1
Israel,38.7,38.68,0.02,0.02,20.0,20.0,ROUNDING-ONLY,CHIPS diff < 0.1
United Arab Emirates,45.2,45.19,0.01,0.01,3.0,4.0,ROUNDING-ONLY,CHIPS diff < 0.1
United States of America,61.5,61.49,0.01,0.01,1.0,1.0,ROUNDING-ONLY,CHIPS diff < 0.1
Sri Lanka,21.8,21.81,-0.01,0.01,65.0,67.0,ROUNDING-ONLY,CHIPS diff < 0.1
Sweden,43.3,43.29,0.01,0.01,6.0,7.0,ROUNDING-ONLY,CHIPS diff < 0.1
Rwanda,19.3,19.31,-0.01,0.01,69.0,71.0,ROUNDING-ONLY,CHIPS diff < 0.1
Republic of Korea,42.6,42.61,-0.01,0.01,8.0,9.0,ROUNDING-ONLY,CHIPS diff < 0.1
Russian Federation,30.1,30.09,0.01,0.01,47.0,49.0,ROUNDING-ONLY,CHIPS diff < 0.1
Singapore,51.1,51.11,-0.01,0.01,2.0,2.0,ROUNDING-ONLY,CHIPS diff < 0.1
Algeria,21.44,21.43,0.01,0.01,66.0,68.0,ROUNDING-ONLY,CHIPS diff < 0.1
Portugal,35.0,35.01,-0.01,0.01,27.0,28.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ecuador,24.0,24.01,-0.01,0.01,60.0,62.0,ROUNDING-ONLY,CHIPS diff < 0.1
Australia,38.9,38.89,0.01,0.01,18.0,18.0,ROUNDING-ONLY,CHIPS diff < 0.1
Austria,38.7,38.71,-0.01,0.01,19.0,19.0,ROUNDING-ONLY,CHIPS diff < 0.1
Belgium,36.0,36.01,-0.01,0.01,26.0,27.0,ROUNDING-ONLY,CHIPS diff < 0.1
Canada,39.9,39.89,0.01,0.01,14.0,15.0,ROUNDING-ONLY,CHIPS diff < 0.1
China,44.4,44.41,-0.01,0.01,5.0,6.0,ROUNDING-ONLY,CHIPS diff < 0.1
Poland,34.6,34.59,0.01,0.01,29.0,30.0,ROUNDING-ONLY,CHIPS diff < 0.1
Denmark,42.0,41.99,0.01,0.01,10.0,11.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ethiopia,21.3,21.31,-0.01,0.01,67.0,69.0,ROUNDING-ONLY,CHIPS diff < 0.1
Hungary,31.5,31.49,0.01,0.01,38.0,40.0,ROUNDING-ONLY,CHIPS diff < 0.1
Indonesia,29.9,29.91,-0.01,0.01,48.0,50.0,ROUNDING-ONLY,CHIPS diff < 0.1
Peru,30.7,30.69,0.01,0.01,43.0,45.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ghana,24.0,24.0,0.0,0.0,61.0,63.0,ROUNDING-ONLY,CHIPS diff < 0.1
Chile,36.4,36.4,0.0,0.0,24.0,25.0,ROUNDING-ONLY,CHIPS diff < 0.1
Brazil,34.6,34.6,0.0,0.0,28.0,29.0,ROUNDING-ONLY,CHIPS diff < 0.1
Japan,39.7,39.7,0.0,0.0,16.0,16.0,ROUNDING-ONLY,CHIPS diff < 0.1
United Kingdom,44.7,44.7,0.0,0.0,4.0,5.0,ROUNDING-ONLY,CHIPS diff < 0.1
Saudi Arabia,36.2,36.2,0.0,0.0,25.0,26.0,ROUNDING-ONLY,CHIPS diff < 0.1
Kenya,24.8,24.8,0.0,0.0,57.0,59.0,ROUNDING-ONLY,CHIPS diff < 0.1
Dominican Republic,,32.37,,,,35.0,AGGREGATION / WEIGHTS,chips diff = nan
Kuwait,,47.33,,,,3.0,AGGREGATION / WEIGHTS,chips diff = nan
